alg time sample
selection 628186053 20000
insertion 1088478704 20000
quick 5203332 20000
merge 320410001 20000
selection 467688015 21000
insertion 1310889541 21000
quick 15543046 21000
merge 210621105 21000
selection 503840996 22000
insertion 758292869 22000
quick 17508471 22000
merge 224582881 22000
selection 599946594 23000
insertion 1185460599 23000
quick 14451366 23000
merge 187315565 23000
selection 618031655 24000
insertion 1217153895 24000
quick 11299114 24000
merge 213031335 24000
selection 655235385 25000
insertion 1183887735 25000
quick 1605589 25000
merge 199707307 25000
selection 694532314 26000
insertion 970222540 26000
quick 1509798 26000
merge 216153878 26000
selection 764955876 27000
insertion 1112537842 27000
quick 1585562 27000
merge 236366439 27000
selection 820142380 28000
insertion 1826160037 28000
quick 1761814 28000
merge 251732185 28000
selection 885220851 29000
insertion 1712458248 29000
quick 1769901 29000
merge 269851059 29000
selection 947322747 30000
insertion 1741779403 30000
quick 1794964 30000
merge 288900529 30000
selection 1011215934 31000
insertion 1428686120 31000
quick 1727983 31000
merge 344877153 31000
selection 1082753247 32000
insertion 2073583882 32000
quick 2128637 32000
merge 325302562 32000
selection 1160168815 33000
insertion 1702430435 33000
quick 1855331 33000
merge 377961234 33000
selection 1241003403 34000
insertion 2733799556 34000
quick 2186789 34000
merge 367115262 34000
selection 1327752675 35000
insertion 3008030529 35000
quick 2590635 35000
merge 388631625 35000
selection 1391136896 36000
insertion 3574737252 36000
quick 2492455 36000
merge 429932393 36000
selection 1475236611 37000
insertion 3429593387 37000
quick 2597730 37000
merge 452089371 37000
selection 1554298705 38000
insertion 3698947345 38000
quick 2730479 38000
merge 462857971 38000
selection 1649609880 39000
insertion 3935924990 39000
quick 2741511 39000
merge 497032326 39000
selection 1737828333 40000
insertion 3379840647 40000
quick 2784977 40000
merge 510258055 40000
